response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
59,18 - 29,nothing,'O',Work,,Email;Calendar;Meetings,gmail?,No,"its well designed, easy to navigate ",tasks/ groups,4,
60,40 - 49,emails,,Work,,Email;Calendar,tasks,No,clean look,heavy feeling,3,
61,18 - 29,Bulky,,Work;Personal,,Email,Todoist and Google Calendar,No,Very little aside from the fact that it consolidates my emails,I cannot turn features on and off,2,
62,18 - 29,Outdated,Email,Work,,Email,Calendar,Yes,Email functionality is useful,I think the calendar could be better,4,Thanks!
63,18 - 29,Work,Envelope,Work,,Email;Calendar;Meetings,Skype,No,It has a lot of functionalities,It has a lot of functionalities that I probably never use because I have no idea they exist,4,
64,30 - 39,"Email, schedules, meetings","Not an icon, but a category tab - Unread",Work;Personal,,Email;Calendar;Tasks;Notes;Meetings,"Corporate Skype, WebEx",Yes,Integration with MS Suite of applications,"Too tight binding, proprietary plugins",4,"I would switch to some other client, most are not in the same space as Outlook. Though I use GMail personally and love it, it's still limited in the corporate world in terms of acceptance."
65,50 - 64,E-mail,The envelope,Work;Academic;Personal,,Email;Calendar;Tasks,gmail,Yes,I am able to connect ,I don't have any complaints.,5,I start using it since it was hotmail.
66,30 - 39,Work,New Email,Work;Academic,,Email;Calendar;Meetings,Google Calendar,No,Not web based,It reminds me of work,4,
67,40 - 49,Email ,,Work,,Email;Calendar;Meetings,"Skype, OneNote and Teams",Yes,Simple and usually works well ,Getting too bloated ,4,
68,18 - 29,Work,The letter O,Work;Academic,,Email;Calendar,N/A,No,The colors.,SPAM ,2,
69,18 - 29,email,New Email,Work,,Email;Calendar;Meetings,none,Yes,It's an interface that I am familiar with and I can have more than one email acct,there's no full dark mode,3,
70,30 - 39,mails,new mails,Work;Academic,,Email;Calendar;Tasks;Meetings,NA,Yes,"It's not that I enjoy it, it's rather that I got used to it",Sometimes very difficult to find mails,2,
71,30 - 39,cumbersome ,File,Work,,Email;Calendar;Meetings,N/A,No,the view of other people's calendars,"recalling an email, making and selecting signature blocks, other tasks",3,"outlook is ok. It gets the job done, but it is not user-friendly to a novice user"
72,18 - 29,good,,Personal,,Email,drive,No,free,slow,3,
73,18 - 29,bloated,,Work,,Email;Calendar,Chatting,No,Office 365 syncs well,It has lots of unnecessary features and can't be used in a lightweight manner,3,
74,40 - 49,corporate mail app,"outlook app icon is very familiar, i hate o365 bundling though",Work,,Email;Calendar;Groups;Meetings,none,Yes,familiarity (o365 in the cloud sucks- very slow though),in cloud,4,
75,18 - 29,streamlining for business use,the outlook icon ,Work,,Email;Calendar;Meetings,Wunderlist,Yes,cross functionality with other microsoft apps,not the most intuitive ,4,thanks!
76,18 - 29,"Email and meetings, mostly in the context of work.",Probably the red reminder flag(s) if my inbox has a message with one.,Work,,Email;Calendar;Meetings,"Google calendar, Gmail web interface, address book on my phone",No,It's a solid hub for most things related to communicating/interacting with coworkers,It's bulky and weirdly complicated to configure compared to most other applications,4,????????????????????????????
77,30 - 39,Slow,,Personal,,Email,Google Calendar,No,MS office integration,It's really cluttered,3,
78,18 - 29,"Old, Slow",O,Work,,Email;Calendar;Meetings,Gmail,No,Nothing. Just have to use it because work has it.,Slow syncing ,3,
79,18 - 29,Work,Inbox/mail icon (yellow tray icon from Outlook 2010 when you received a new message),Work;Academic,,Email,Word / Google Docs,No,It's very formal and business-like,"Search and functionality is very rigid vs Gmail which almost ""knows what I'm looking for before I search it""",4,
80,18 - 29,Email,Mail Icon,Work,,Email;Calendar;Meetings,N/A,No,It display a conflict time when you schedule appointment,N/A,3,
81,50 - 64,It's a Microsoft product,Mail,Work,na,Email;Calendar;Tasks;Meetings,GMail,Yes,The GUI,GUI clutter,4,Thank you
82,18 - 29,Work (this is when I primarily use Outlook),"Not sure what you mean? I guess the ""Send"" button (with an envelope) is the first one I see.",Work;Academic,,Email;Calendar;Meetings,"Not sure if this is what you're looking for, but I use Gmail as my personal email application.",No,I think it's really good for managing meetings. The calendar view is really good in my opinion - it's simple yet provides all the functionality it needs to.,The searching. It doesn't follow conventions that other similar search utilities use and it doesn't seem to be very accurate either.,4,
83,18 - 29,hate it.,the actual outook logo,Other,dont use it,Email,none,No,gmail,Its too much,1,
84,30 - 39,"Improved service, long-standing product",,Personal,,Email,None,No,"Improved interface operates well, good Android app",Ads too prominent via web browser access,4,Only use Outlook b/c I have long-time Hotmail account where extended family can reach me
85,40 - 49,Work,New Email,Work,,Email;Calendar,I don't understand the question,Yes,It is familiar ,I don't find it as productive as it could be. ,3,
86,18 - 29,email,"the word ""inbox""",Academic,,Email,google calendar,No,Its not frustrating to use,I wish the filtering/rule system was better,3,yay for points!
87,30 - 39,email,reply,Work,,Email;Calendar;Tasks;Meetings,none,Yes,"easy to use, easy to schedule appointments",can't think of anything,5,
88,18 - 29,Best email application,Inbox,Work,,Email;Calendar;Notes;Meetings,NA,Yes,It is very easy to have email folders organized. UI is designed cleaner that things feel rightly in place and especially desktop app is very comfortable to use.,It crashes sometimes. Needs internet with decent bandwidth to load emails while checking on mobile.,5,
